Sex,PA,Subzone,AG,Floor Area,Population,Time
Male,Ang Mo Kio,Total,0 - 4,Total*,"2,560",2022
Male,Ang Mo Kio,Total,0 - 4,? 60,290,2022
Male,Ang Mo Kio,Total,0 - 4,> 60 - 80,570,2022
Male,Ang Mo Kio,Total,0 - 4,> 80 - 100,850,2022
Male,Ang Mo Kio,Total,0 - 4,> 100 - 120,420,2022
Male,Ang Mo Kio,Total,0 - 4,> 120,440,2022
Male,Ang Mo Kio,Total,15 - 19,Total*,"3,760",2022
Male,Ang Mo Kio,Total,15 - 19,? 60,290,2022
Male,Ang Mo Kio,Total,15 - 19,> 60 - 80,930,2022
Male,Ang Mo Kio,Total,15 - 19,> 80 - 100,990,2022
Male,Ang Mo Kio,Total,15 - 19,> 100 - 120,600,2022
Male,Ang Mo Kio,Total,15 - 19,> 120,940,2022
Male,Ang Mo Kio,Total,20 - 24,Total*,"4,230",2022
Male,Ang Mo Kio,Total,20 - 24,? 60,420,2022
Male,Ang Mo Kio,Total,20 - 24,> 60 - 80,"1,070",2022
Male,Ang Mo Kio,Total,20 - 24,> 80 - 100,"1,200",2022
Male,Ang Mo Kio,Total,20 - 24,> 100 - 120,570,2022
Male,Ang Mo Kio,Total,20 - 24,> 120,950,2022
Male,Ang Mo Kio,Total,25 - 29,Total*,"4,940",2022
Male,Ang Mo Kio,Total,25 - 29,? 60,420,2022
Male,Ang Mo Kio,Total,25 - 29,> 60 - 80,"1,210",2022
Male,Ang Mo Kio,Total,25 - 29,> 80 - 100,"1,530",2022
Male,Ang Mo Kio,Total,25 - 29,> 100 - 120,640,2022
Male,Ang Mo Kio,Total,25 - 29,> 120,"1,110",2022
Male,Ang Mo Kio,Total,30 - 34,Total*,"5,280",2022
Male,Ang Mo Kio,Total,30 - 34,? 60,330,2022
Male,Ang Mo Kio,Total,30 - 34,> 60 - 80,"1,370",2022
Male,Ang Mo Kio,Total,30 - 34,> 80 - 100,"1,940",2022
Male,Ang Mo Kio,Total,30 - 34,> 100 - 120,680,2022
Male,Ang Mo Kio,Total,30 - 34,> 120,940,2022
Male,Ang Mo Kio,Total,35 - 39,Total*,"4,490",2022
Male,Ang Mo Kio,Total,35 - 39,? 60,240,2022
Male,Ang Mo Kio,Total,35 - 39,> 60 - 80,"1,250",2022
Male,Ang Mo Kio,Total,35 - 39,> 80 - 100,"1,750",2022
Male,Ang Mo Kio,Total,35 - 39,> 100 - 120,570,2022
Male,Ang Mo Kio,Total,35 - 39,> 120,640,2022
Male,Ang Mo Kio,Total,40 - 44,Total*,"5,200",2022
Male,Ang Mo Kio,Total,40 - 44,? 60,280,2022
Male,Ang Mo Kio,Total,40 - 44,> 60 - 80,"1,520",2022
Male,Ang Mo Kio,Total,40 - 44,> 80 - 100,"1,790",2022
Male,Ang Mo Kio,Total,40 - 44,> 100 - 120,800,2022
Male,Ang Mo Kio,Total,40 - 44,> 120,780,2022
Male,Ang Mo Kio,Total,45 - 49,Total*,"5,520",2022
Male,Ang Mo Kio,Total,45 - 49,? 60,240,2022
Male,Ang Mo Kio,Total,45 - 49,> 60 - 80,"1,610",2022
Male,Ang Mo Kio,Total,45 - 49,> 80 - 100,"1,780",2022
Male,Ang Mo Kio,Total,45 - 49,> 100 - 120,890,2022
Male,Ang Mo Kio,Total,45 - 49,> 120,970,2022
Male,Ang Mo Kio,Total,50 - 54,Total*,"5,610",2022
Male,Ang Mo Kio,Total,50 - 54,? 60,390,2022
Male,Ang Mo Kio,Total,50 - 54,> 60 - 80,"1,630",2022
Male,Ang Mo Kio,Total,50 - 54,> 80 - 100,"1,700",2022
Male,Ang Mo Kio,Total,50 - 54,> 100 - 120,780,2022
Male,Ang Mo Kio,Total,50 - 54,> 120,"1,080",2022
Male,Ang Mo Kio,Total,55 - 59,Total*,"5,970",2022
Male,Ang Mo Kio,Total,55 - 59,? 60,490,2022
Male,Ang Mo Kio,Total,55 - 59,> 60 - 80,"1,920",2022
Male,Ang Mo Kio,Total,55 - 59,> 80 - 100,"1,870",2022
Male,Ang Mo Kio,Total,55 - 59,> 100 - 120,630,2022
Male,Ang Mo Kio,Total,55 - 59,> 120,"1,010",2022
Male,Ang Mo Kio,Total,60 - 64,Total*,"6,180",2022
Male,Ang Mo Kio,Total,60 - 64,? 60,610,2022
Male,Ang Mo Kio,Total,60 - 64,> 60 - 80,"1,890",2022
Male,Ang Mo Kio,Total,60 - 64,> 80 - 100,"1,850",2022
Male,Ang Mo Kio,Total,60 - 64,> 100 - 120,610,2022
Male,Ang Mo Kio,Total,60 - 64,> 120,"1,140",2022
Male,Ang Mo Kio,Total,65 - 69,Total*,"5,510",2022
Male,Ang Mo Kio,Total,65 - 69,? 60,590,2022
Male,Ang Mo Kio,Total,65 - 69,> 60 - 80,"1,560",2022
Male,Ang Mo Kio,Total,65 - 69,> 80 - 100,"1,750",2022
Male,Ang Mo Kio,Total,65 - 69,> 100 - 120,510,2022
Male,Ang Mo Kio,Total,65 - 69,> 120,"1,020",2022
Male,Ang Mo Kio,Total,70 - 74,Total*,"4,900",2022
Male,Ang Mo Kio,Total,70 - 74,? 60,430,2022
Male,Ang Mo Kio,Total,70 - 74,> 60 - 80,"1,460",2022
Male,Ang Mo Kio,Total,70 - 74,> 80 - 100,"1,550",2022
Male,Ang Mo Kio,Total,70 - 74,> 100 - 120,510,2022
Male,Ang Mo Kio,Total,70 - 74,> 120,850,2022
Male,Ang Mo Kio,Total,75 - 79,Total*,"2,950",2022
Male,Ang Mo Kio,Total,75 - 79,? 60,240,2022
Male,Ang Mo Kio,Total,75 - 79,> 60 - 80,930,2022
Male,Ang Mo Kio,Total,75 - 79,> 80 - 100,940,2022
Male,Ang Mo Kio,Total,75 - 79,> 100 - 120,260,2022
Male,Ang Mo Kio,Total,75 - 79,> 120,500,2022
Male,Ang Mo Kio,Total,80 - 84,Total*,"2,030",2022
Male,Ang Mo Kio,Total,80 - 84,? 60,160,2022
Male,Ang Mo Kio,Total,80 - 84,> 60 - 80,620,2022
Male,Ang Mo Kio,Total,80 - 84,> 80 - 100,660,2022
Male,Ang Mo Kio,Total,80 - 84,> 100 - 120,170,2022
Male,Ang Mo Kio,Total,80 - 84,> 120,300,2022
Male,Ang Mo Kio,Total,85 - 89,Total*,960,2022
Male,Ang Mo Kio,Total,85 - 89,? 60,80,2022
Male,Ang Mo Kio,Total,85 - 89,> 60 - 80,250,2022
Male,Ang Mo Kio,Total,85 - 89,> 80 - 100,310,2022
Male,Ang Mo Kio,Total,85 - 89,> 100 - 120,70,2022
Male,Ang Mo Kio,Total,85 - 89,> 120,180,2022
Male,Ang Mo Kio,Total,90 & Over,Total*,410,2022
Male,Ang Mo Kio,Total,90 & Over,? 60,30,2022
Male,Ang Mo Kio,Total,90 & Over,> 60 - 80,90,2022
Male,Ang Mo Kio,Total,90 & Over,> 80 - 100,150,2022
Male,Ang Mo Kio,Total,90 & Over,> 100 - 120,30,2022
Male,Ang Mo Kio,Total,90 & Over,> 120,70,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total*,100,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,> 60 - 80,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,> 80 - 100,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,> 100 - 120,60,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,> 120,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Total*,140,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,> 60 - 80,0,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,> 80 - 100,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,> 100 - 120,90,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,> 120,30,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Total*,140,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,> 60 - 80,0,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,> 80 - 100,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,> 100 - 120,90,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,> 120,30,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Total*,140,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,> 60 - 80,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,> 80 - 100,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,> 100 - 120,90,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,> 120,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Total*,140,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,> 60 - 80,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,> 80 - 100,30,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,> 100 - 120,80,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,> 120,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Total*,150,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,> 60 - 80,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,> 80 - 100,50,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,> 100 - 120,70,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,> 120,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Total*,180,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,> 60 - 80,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,> 80 - 100,40,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,> 100 - 120,110,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,> 120,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Total*,210,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,> 60 - 80,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,> 80 - 100,50,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,> 100 - 120,130,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,> 120,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,Total*,200,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,> 60 - 80,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,> 80 - 100,40,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,> 100 - 120,120,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,> 120,30,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,Total*,170,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,> 60 - 80,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,> 80 - 100,30,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,> 100 - 120,110,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,> 120,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,Total*,130,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,> 60 - 80,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,> 80 - 100,20,2022
